stt,url,address,name,location,confirmed,rate,votes,rest_type,special_diet,price_max,price_min
0,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d7057524-Reviews-The_Lounge-Ho_Chi_Minh_City.html,"88 Đồng Khởi, Q.1 Khách Sạn Sheraton, Thành phố Hồ Chí Minh 70000 Việt Nam",The Lounge,Thành phố Hồ Chí Minh,Y,5,266,"Quầy bar, Cà phê, Đồ ăn nhanh",Y,,
1,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1812864-Reviews-Li_Bai_Restaurant-Ho_Chi_Minh_City.html,"Sheraton Saigon Hotel & Towers, Level 2 88 Dong Khoi Street, District 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Li Bai Restaurant,Thành phố Hồ Chí Minh,Y,5,1070,"Kiểu Trung Quốc, Kiểu Á",Y,,
2,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1742388-Reviews-Nha_Hang_Saigon_Cafe-Ho_Chi_Minh_City.html,"80 Đông Du, Phường Bến Nghé, Quận 1 Sheraton Saigon Hotel & Towers, Thành phố Hồ Chí Minh 70000 Việt Nam",Nhà Hàng Saigon Café,Thành phố Hồ Chí Minh,Y,5,446,"Hải sản, Kiểu Á, Quốc tế",Y,,
3,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d3858605-Reviews-Kabin-Ho_Chi_Minh_City.html,"8-15 Ton Duc Thang Street, District 1 Renaissance Riverside Hotel Saigon, Thành phố Hồ Chí Minh 70000 Việt Nam",Kabin,Thành phố Hồ Chí Minh,Y,5,295,Kiểu Trung Quốc,Y,2325581,372093
4,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d21167878-Reviews-Kebaby-Ho_Chi_Minh_City.html,"112 Pham Viet Chanh, Phuong 19, Binh Thanh, Thành phố Hồ Chí Minh 00000 Việt Nam",Kebaby,Thành phố Hồ Chí Minh,Y,5,115,"Đồ ăn nhanh, Kiểu Địa Trung Hải, Kiểu Thổ Nhĩ Kỳ, Tốt cho sức khỏe, Quốc tế, Thức ăn đường phố, Kiểu Trung Đông",Y,162791,46512
5,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d20214556-Reviews-Le_Petit_Chef_Saigon-Ho_Chi_Minh_City.html,"Số 2 Công Trường Lam Sơn Square One Restaurant, Park Hyatt Saigon, Thành phố Hồ Chí Minh 70000 Việt Nam",Le Petit Chef,Thành phố Hồ Chí Minh,Y,4,1,"Bữa trưa, Bữa tối, Bữa nửa buổi",N,,
6,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d14973924-Reviews-Bollywood_Indian_Restaurant_Bar-Ho_Chi_Minh_City.html,"41 Xuan Thuy, Thành phố Hồ Chí Minh Việt Nam",Bollywood Indian Restaurant & Bar,Thành phố Hồ Chí Minh,Y,5,1127,"Kiểu Ấn Độ, Kiểu Á, Quầy bar, Quốc tế, Quán rượu, Món kết hợp",Y,200000,15000
7,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d11953280-Reviews-Viet_Kitchen-Ho_Chi_Minh_City.html,"8-15 Tôn Đức Thắng Khách Sạn Renaissance Riverside Saigon, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Việt Kitchen,Thành phố Hồ Chí Minh,Y,5,141,"Quốc tế, Kiểu Âu, Kiểu Á, Hải sản, Kiểu Việt",Y,2325581,302326
8,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12130500-Reviews-Poke_Saigon-Ho_Chi_Minh_City.html,"42/25 Nguyễn Huệ Tầng 2, Thành phố Hồ Chí Minh Việt Nam",Quán Poke Saigon,Thành phố Hồ Chí Minh,Y,5,973,"Kiểu Mỹ, Tốt cho sức khỏe, Kiểu Hawai, Hải sản",Y,209302,139535
9,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d2254119-Reviews-Baba_s_Kitchen-Ho_Chi_Minh_City.html,"274 Bùi Viện Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Baba's Kitchen,Thành phố Hồ Chí Minh,Y,4.5,3782,"Kiểu Ấn Độ, Kiểu Á, Tốt cho sức khỏe",Y,232558,116279
10,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d4891113-Reviews-HCM_Villages_Restaurant-Ho_Chi_Minh_City.html,"107 Tran Van Cham ,Phuoc Vinh An ,Cu Chi, Thành phố Hồ Chí Minh 84 Việt Nam",Làng Rau Sạch Củ Chi,Thành phố Hồ Chí Minh,Y,5,123,Kiểu Việt,Y,,
11,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d11887076-Reviews-Heart_of_Darkness_Craft_Brewery-Ho_Chi_Minh_City.html,"31D Lý Tự Trọng, Thành phố Hồ Chí Minh 70000 Việt Nam",Heart of Darkness Craft Brewery,Thành phố Hồ Chí Minh,Y,4.5,664,"Nhà hàng bán bia, Quầy bar, Quán rượu",Y,1000000,55000
12,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d17662928-Reviews-Banana_Mama_Rooftop_Kitchen-Ho_Chi_Minh_City.html,"102 Cống Quỳnh Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Banana Mama Rooftop & Kitchen,Thành phố Hồ Chí Minh,Y,5,494,Quán bar phục vụ đồ ăn,N,,
13,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1382250-Reviews-Signature_Restaurant-Ho_Chi_Minh_City.html,"Sheraton Saigon Hotel 88 Dong Khoi Street, District 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Signature Restaurant,Thành phố Hồ Chí Minh,Y,5,428,"Nhà hàng bít tết, Hải sản, Kiểu Âu, Kiểu Tây nam",Y,1744186,325581
14,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d13307422-Reviews-Poke_Saigon_Ly_Tu_Trong-Ho_Chi_Minh_City.html,"42 bis Ly Tu Trong First Floor, Thành phố Hồ Chí Minh 70000 Việt Nam",Poke Saigon Ly Tu Trong,Thành phố Hồ Chí Minh,Y,5,608,"Kiểu Nhật, Kiểu Mỹ, Tốt cho sức khỏe, Kiểu Hawai, Hải sản",Y,7,6
15,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d9705561-Reviews-Le_Corto_Restaurant-Ho_Chi_Minh_City.html,"5D Nguyễn Siêu, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Nhà Hàng Le Corto,Thành phố Hồ Chí Minh,Y,5,790,"Kiểu Pháp, Tốt cho sức khỏe",Y,2325581,232558
